filename,audio_only_prediction,video_only_prediction,audio_video_prediction
bedeutet_0178-0315,Alleutet mehr.,Lebürd neben uns noch?,Alleutet mehr.
bedeutet_0178-0317,Und das bedeutet.,"""Es ist nicht gegrücen, aber wohndebochen.""",Und das bedeutet.
beiden_0029-0126,Diese beiden Entscheidungen Entscheidung.,"""Wel, Balinischer Schalz.""",Diese beiden Entscheidung.
beiden_0005-0889,Ein der beiden Speiz sprechen.,Das ist ungefähr im Beispiel.,Ein der Beinn speiz!
beiden_0075-0154,Es gibt nie bei beiden Person.,(Applaus),Sie sind nie bei diesen Belieren.
beiden_0084-0159,"""Ohn, gelegen haben.""",(Applaus),"""Olle schön haben."""
beiden_0031-0130,Das sind die beiden Krün gewundet.,Was ist denn die Nam?,Das sind die beiden Gründen Gründeründen.
beiden_0107-0179,(Lachen) Ich bin.,Das ist ungefähr im Schübchen.,Das ist ganz gut.
beiden_0121-0186,Wir sind die beiden hier.,Vielen Dank.,Wir sind die beiden Lösungen.
beiden_0136-0201,Mein beiden beide.,(Applaus),Mein beiden beide.
beiden_0092-0166,Wir sind unsere beiden erwenden.,Wocher geht das nunten lesen.,Wir sind unsere beiden erwenden.
beiden_0151-0217,Das sind der Stückweit auseinander.,(Applaus),Das war der Stück weit auseinander.
beim_0185-0112,Das hat eine bewanigten.,Das ist ein andere Hangehmung.,Das hat eine Gopst du.
beim_0213-0203,"""Jetzt ist auch, das Machen ist.""",Haband man das mal von Rotert.,"""Jetzt ist auch, was man das ist."""
beim_0185-0116,Das sind nicht mehr beim Elefort.,"""Also sind nicht immer mit meinem Beruf, wenn man reichtlicht.""",Das sind nicht mehr beim Elefort.
beim_0223-0246,Hier ist doch bei denen.,Wir sind nun die Pallerlecht.,Wir ist doch bei denen.
beim_0213-0204,Das ist ein: Wein.,"""Ganzer bleiben Sie einen kleinem Döllkrei.""""""",Das war bei den tollen Zoll.
beim_0244-0300,Du muss auch beim Beruf.,Welfand mabieren lecht.,Wozu auch ein Beruf.
beim_0267-0343,"""Wiechanter, einen Leben reicht.""",All nun hangehaben.,Das sind einen Thema.
beim_0276-0366,Danken dazu beim Klimagimas.,Das ist eine Schweime mitgeber.,Die sagte dazu beim Klima gibt.
beim_0279-1286,"""Hier, wir egal.""",(Applaus),"""Wanehr mann gehen."""""""
beispielsweise_0012-1151,Oder weiß mittlerweile nicht.,(Applaus),Oder Beispiel ist die Beispiel.
beispielsweise_0048-0181,Ein Beispielsweise.,Es war die Koberwarte weiter.,Ein Beispielsweise.
beispielsweise_0001-1128,Ken Beispiel bei Beispiel.,"""Das hat man, man macht mir Rote Rott.""",Ken Beispiel: Du kann das für gut.
beispielsweise_0105-0236,Pai ein Beispieles Parl.,Vielen Dank.,Paißspiel eure Beispiel.
beispielsweise_0097-0223,Der meisten weiß ist.,Bei mir war gefant in die Kleinen hebanen,Z. Beispielsch.
beispielsweise_0141-0275,Das sind ein Beispieles.,Was nervt euch?,Das ist ein Beispielsweise.
beim_0294-0445,Man wird draufliche bei Röcke lang.,Was braucht man nicht mit Mommunkaben leban?,Manraufstäche bei Wirkelen.
beispielsweise_0048-0182,Man Ungurtstein!,Welte seide ich leichtlich leichtlich nen,Wir haben die Koolstreiigen.
beispielsweise_0179-0782,Ein Beispielsweise.,Er sind gribter weiter.,Ein Beispielsweise.
beispielsweise_0154-0288,Ein Beispiel: Die Beispielsweise eine.,Ein Beispiel: Und das Land.,Das ist ein Beispielsweise anig.
beispielsweise_0179-0781,Das Beispiel ein Beispielsweise.,Kennen Sie mal wieder in die Heveder.,Das Beispiel ein Beispielsweise.
beispiel_0015-1204,Das Beispiel: Die Beispiel.,(Applaus),Das Beispiel: Die Beispiel.
beispiel_0003-1184,"""Sind z. hier zum Beispiel, z.""",Das machen auch die Wunde.,"""Stheweitewöhr z."""
beispiel_0007-1198,Und dritte dritte: Wenn.,Das sind seit ein Beispiel.,Drittes Beispiel:spiel.
beispiel_0001-1179,"Für das Ongagerunter, die man lunteran in den Land",Er wird moderbar nach einem Mopott.,Für das Ongage schon morgen.
beispiel_0013-1201,Das funktioniert ein Beispiel da.,"""Was mir überleübert, machst du gute.""",Das Beispiel ein Beispiel darf.
beispiel_0032-0173,Denn die Beispiel.,(Applaus) Menschlich mit geglen.,"""Splassen, das Beispiel."""
beispiel_0056-0208,Das Beispiel: Die Kohle.,Nachand ruft uns nur auf Rott.,Das Beispiel: Die müssen nur gernt.
beispiel_0113-0260,Das Beispiel: Die ein Beispiel.,Danke schön.,Das Beispiel: Die ein Beispiel.
beitrag_0001-0981,Dreite Frage.,B.,Beitragen.
beispiel_0079-0855,Ein Beispiel: Die Beispiel.,Kenge schöne Lachuellsanselgelegt.,Ein Beispiel: Ein Beispiel.
beitrag_0001-0982,Das sind weiter dazu.,(Applaus),Das sind beide Tag dazu.
beitrag_0021-0715,Ein Beispiel hatte ein Weitter.,Was macht man anders?,Ein Beispiel dazu.
beispiel_0084-0230,Das Beispiel ein Beispieltypolegies.,"""All seht du tun, """"Pass tot.""",Das Beispiel ein Beispiels Beispiel.
beitrag_0092-0173,So ein paar Tagleiten.,Wennen Sie sich vor?,So ein paar Taglassen.
beitrag_0025-0110,Echten beiden Beitragdaz z.,(Applaus) (Musik),Echten beiden Beitragda.
beitrag_0106-0184,(Lachen) (Musik),(Applaus),(Lachen) (Musik)
beitrag_0040-0125,"""Vopen, Geralperg gehen.""","""Bitte schön, was nenne ich immer, machen",Dorangen Sie an dieser Hochs.
beitrag_0108-0188,Ich habe mich ja beiden Ren.,Das funktioniert keinen Umsatzinkrasstor.,Ich habe weiter drei.
beitrag_0108-0189,Vieler Beitrager Beitrate.,Vielen Dank.,Vieler Beitrager Beispiel mehr.
beitrag_0106-0182,Sie hat dabei bei der Tag.,"""Es ist nur getrücent, das leiden.""",Sie hat dabei bei den Greitag zu.
bekommen_0045-0287,Alles ist die Karte.,(Applaus),Das war Warte.
bekommen_0005-1950,Mitte Mititt bekommen.,Er ist nun die Kommen hier.,Mitte bekommen?
bekommen_0138-0461,Ein Lösung bekommen.,Wolle bekommen wir noch den?,Wöse kommen?
bekommen_0082-0349,"""Ill, solange These.""",Es ist ganz gut.,"""Es gibt sie gefahren, damit ihr wirklich rechtlich."""
bekommen_0162-0498,Warum los!,"""Oben Sie überhaupt, oben können.""","""Irgendwob bekommen."""""""
bekommen_0108-0400,(Englisch) Hallo allem.,Vielen Dank.,(Englisch) Hallo allem.
bekommen_0133-0452,"""B. muss nicht herht, ich?""","B. Hu muss zu nunen, warum es schon noch läu","""Wiehrt ihr bekommen, ich?"""
bekommen_0132-0448,Sie fliegt bekompfenha.,All loskommen wir noch ein Kommen die Nüll?,Woll liegt bekombt bekommen haben.
bekommen_0179-1351,Dafür bekommen zu bekommen.,Woher wir noch zu einem Koben?,Dafür bekommen un.
bekommen_0178-0524,Viele Ahnakten.,"""Die Hand egrüberkrammung.""""""",Hier behn dazu bekommen.
bereich_0051-0393,Das dritte im Bereichshitt.,"""Sche, das rennen uns an Grampel.""",Schritte im Bereich der Kultur.
bereich_0092-0514,Das macht wieder drei.,Hachen Sie angeblüchen woren oder lechtigen Welen,Sie werden wieder drei.
bereich_0099-1726,In diesem Bereich mit diesem Bereich.,(Applaus),In diesem Bereich mit diesem Bereich.
bereich_0077-0452,Zuidt sie bereits erreichte.,Was nen Sie die Gleich?,Weiter haben bereits ansehen.
bereich_0149-0614,Das heißt der Reise.,Das ist der Prunologiemiemung.,Das heißten Bereich stellen.
bereich_0161-0631,Genau das den Bereichs hochschen.,Das ist die Boldomadingung.,Und aus dem Bereich holen.
bereich_0191-0694,Ihr diesem Bereich etwas.,"""Klingt erstmal, lassen Sie um Zw.""",Dies Bereich bereit etwas zu.
bereich_0193-0699,Ihr könnt es bereit der Gritn.,Klingen Sie immer einen?,Ihr seht bereit der Dreh.
bereits_0027-0388,Das bin der klar stellt.,(Applaus),Das bin der klar.
bereich_0219-1745,Wir ist über den Bereich.,Haben wir nicht mehr gehännet.,Wir ist auf den Bereich.
bereich_0198-0713,In der Bereich ist immer der Bereich.,Vielen Danke man nicht mehr im Roten.,In der war im Bereich der Moment.
bereits_0048-0440,Unserehnt aber weiter sehr gut.,Es gibt aber die Hekoholen.,Warum aber aber nicht sehr gut.
bereits_0056-0466,Übern beide beide wende.,(Applaus),Es gibt bei beiden Bereichser Welt.
bereits_0071-0486,Das fand wir bereits wichtiger.,Sie sind keinen Um.,Das Land bereintwichtig.
bereits_0095-0541,Wir brauchen es bereits frühteil.,(Applaus),Wir brauchen es bereits frühkeit.
bereits_0095-0540,Letzen Siem konnte ich bereit.,Wir erken die Wins in der Hulkanent an.,Am Hekund bereit ist ihre Forl.
bereits_0098-0558,(Lachen) Woll!,Das ist ungefähren auf uns holen oder Ruhen.,Das sind ungefähr.
besonders_0034-0238,Ich möchte besonders besonders.,(Applaus),Ich möchte besonders besonders.
bereits_0173-0756,Denkendwand wird sie bereits.,Vielen Dank.,Denken Sie bereits.
besonders_0048-0262,Das ist auch die anderen.,Vielen Dank.,Das ist besonders8.
bereits_0118-0612,"""Oh dickt bereit, bereitstill.""","""Ohke Menschen, wie rachst.""","""Oblick bereits sehen?"""""""
bereits_0127-0637,Das wurde bereit ist: Es wollen.,"""Oh lebalen Sprane, als wir nur",Das wurde bereit ist: Es wollen.
besonders_0090-0337,Das ist besonders besonders gut.,(Applaus),Das ist besonders besonders gute.
besonders_0123-0400,Wie besonders besonders anders.,Wel nehmen wir noch nicht?,Es geht es anders.
besonders_0124-0404,Deswegen besonders besonders.,Was ist denn nicht?,Woher oben besonders anders.
besonders_0040-0250,Und wo wir besondert.,Womand ruarig lesen und Zes,Woher es anders unserendern?
besonders_0281-0630,Ganz besonder das für die auch.,Und nicht besonders besonders besonders besonders.,Ganz besonders besonders für die auch.
besonders_0198-0499,Wir sind besonders in der Stasonder.,Lassen Sie neiden Kals sprechen?,Wir sind messonder stark wird.
besonders_0337-0721,Das ist ein grundes schönes schön.,Was ist denn die Niemking gerülen?,Das ist ein besonders schönes schönes.
besonders_0305-0672,Jetzt ist nicht besonders tiefst.,"""Das sind mir noch nicht im Onliländeren, leb mir",Jetzt ist nicht besonders als Tiefg.
besser_0049-0325,"""Nuten besser geschalt.""","""Das sind die Bitelgeschieht, das tun, was immer ver",Nutze besser geschalt.
besser_0079-1293,Doral ist besser gewegt.,Vielen Dank.,Woral ist besser gewegt.
besser_0124-0449,Das könnten besser sein.,Doche geht Sperziellsel.,Das könnte besser sein.
besser_0081-0365,Dafür wieder Bodten werk nicht.,(Applaus),Dafür wieder bodten berk nicht.
besser_0087-0383,"""Erfolge besser, bessere.""",Woher wolltet immer das?,Erfolge bessere besserals die.
besser_0146-0488,"""Scheinlich, besserseiter.""",So mit hat man nicht mehr?,[eine ich besser.
besser_0198-0574,Was ist man besser machen?,"""Also wank immer, was man blicken.""",Was ist man besser machen?
besser_0134-0466,Warum sehen wir noch besser werden.,"""Das sind enormper zur Verwintung, was die","""Wir sind dir noch besser werden."""""""
besser_0151-0499,Danke schön besser ein Unterstruck.,Also nuns es schon noch Lesentlich.,Dankenkung besser Unterstückungen.
besteht_0070-0144,Dann magas das?,(Applaus),"""Und ich sagen, dass das?"""
besser_0188-0549,Mar Minie besser besser.,Haben das angebrobriktet auch einmal an.,"""Famil, beste bessere ichter zusammen."""
besteht_0121-0189,So ist ganz.,Vielen Dank.,Vielen Dank.
besteht_0089-0160,Fürteion beispielen.,Was ist ungefähr und fänder.,Pission weil viele.
besteht_0031-0117,Süßlichkeit besteht in der.,Vielen Danken die Burkieren geschehnt werden.,Oder Gügigkeit besteht solche.
besteht_0140-0209,(Englisch) Der Hundert.,Das ist ganz gut.,Der Doll.
besteht_0285-0306,Das ist der Leute.,Wir haben keine Dänderksamkeite Nen.,Was ist der da?
besteht_0290-0308,Das ist ganz gut.,Er mogen Sie auf Probieren.,Das ist ganz gut.
besteht_0262-0289,Dazugnucht mit den Ihreht.,Numan bestehen dann mit den Hrostierenden her0 von,Dazug zu versteht.
besteht_0292-0309,Für Heidung ist.,(Applaus),Für die Heitung ist.
bildung_0001-1524,"""Welte, Bilder!""",(Applaus),Verweiter Bildung.
bildung_0017-1556,Das macht man hier?,Das macht man anders?,Das macht nicht einen Pus.
bildung_0018-1559,Einben Bildung mit.,"""All, so gut machen.""",Einben Bildung mit.
bildung_0156-0289,Das ist man auch nicht.,Was nen wir sich nach Rot gehen?,Und man hat ja auch.
bildung_0166-0311,Esder in die Bildung Essen.,(Applaus),Esder in die Bildung.
bildung_0160-0297,Das ist ein grundlichen Bildung.,(Applaus),Das ist ein Bilden Bildung.
besteht_0313-0331,"""Klar, da kann man nicht rehst.""","""All, Brüdierte Röndigation.""","""Klar, daral-Ahry-Ban."""
bildung_0181-0332,"""Das ist die Schabildigung.""""""",Wennen Sie das noch vor?,"""Das ist der Scherhlung."""""""
bildung_0205-0344,"""""""Tunkan Bildung"""".""",Haben wir angebieobriesbolieren.,Haen Goolassum.
bildung_0226-0366,Wir funktioniert immer von Bildung.,"""Welte ein Beispiel, worländeer.""",Er funktioniert von Bildung erziehung.
bildung_0205-0349,Einem Bildsländeruhen.,Es gibt ungefährsländer gehochen.,Deben sind die Hung heutez?
bisher_0016-1357,"""Ges sagt, wir haben wir keine.""",Das ist ein bisschen?,"""Ges sagt, bitte haben wir keine."""
bisher_0079-0883,Das ist bis sehr.,Vielen Dank.,Das ist bis sehr.
bisher_0054-0196,"""Ich sitzen Sie vor, bis mache gemacht.""",(Applaus),Das ist das vor allem.
bisher_0011-1343,"""Das wurde, bittewohl, dass es hier aus.",Nachand ne Wendig.,Was wurde im Bohr-Bz-S.
bisher_0096-0236,Er mitte ist ja loguziert.,"""Ganz ehrlich, so guteben.""",Das ist ganz ja.
bisher_0125-0257,Das wäre es sehr beteiligt.,"""Wir taten wir noch, weil uns einmal an.""","Und es wäre, des sehr beteiligt."
bisher_0161-0307,Das ist sehr versehen.,Es ist keine Lobieren.,Das ist munde sehr.
bisschen_0038-0280,Das ist ein bisschen.,(Applaus),Das ist ein bisschen.
bisher_0154-0298,Und das hat in der grunden.,Habanüberbarbar belebieren].,"""Witte-Bater, weile das bergan."""
bisher_0241-0392,Das ist ganz gut.,Was macht man das grugieren?,Das hat sie andersgruhi zu.
bisher_0242-0393,Alle Teckt das sehr vor.,(Applaus),Alle Teckt das sehr vor.
bisschen_0051-0306,-- bis ist ein bisschen.,(Applaus),"""Kristt ihr ein besser, arch."""
bisschen_0050-0301,Jetzt ist etwas ge überblüberklich.,Danke an dem Bies gelaubtsaublauben.,Jetzt passiert es ein bisschen der überblickt.
bisschen_0105-0413,"""B. Businoma Jaid Ja"""".""",(Applaus),"""B. Bubin, mit den Jach."""
bisschen_0131-0472,Ein paarsiert mehr.,Vielen Dank.,Ein bisschen hier mehr.
bisschen_0116-0442,Das sind immer wieder als.,Der Wermen wir Ihnen von uns.,Das ist mer wieder wieder goren.
bisschen_0105-0416,Das ist schon ein bisschen mehr sein.,"""Schon, geranselung, an dem Ner.""",Sie schaut schon ein bisschen mehr Sehrs.
bisschen_0146-0506,Auch ein bisschen gegen.,"""Nein, riemlich.""",Auch ein bisschen gegen.
bisschen_0139-1432,Menschen nehmen Sie ein bisschen herkommen.,(Applaus),Menschen gucken sie ein bisschen kober.
bisschen_0141-0499,Das ist kostet es schon.,"""Also ist worte euch, die Pieteanseiten in der G",Das ist koste ein bisschen.
bitte_0027-0522,Geben möchte ich nicht interessant.,Vielen Danke Menschen nicht mehr.,Geben möchte ich nicht mit diesem Land.
bitte_0045-0582,Sicherlich nicht.,(Applaus),Sicherlich nicht.
bitte_0033-0540,"""Mitte, bittes.""",(Applaus),"""Mitte, bitte Terben."""
bitte_0075-0691,Lasste mal?,Das ist ganz.,Lasste geht's.
bitte_0055-0621,"""Ich weiß weite, viel schön.""",Was ist denn die Stimme?,Weiter ist bitte schön.
bitte_0084-0721,Das war der schön nicht.,(Applaus),Das war der schön auch ein Schönt.
bitte_0074-0687,Und nicht mäter ich das sehr.,Sie machen keinen Umteile können.,An von monder ich das sehr.
bitte_0108-0789,(Applaus),Alle machen hoch.,Das sind ungefähr im Kochen.
bitte_0110-0791,(Applaus),(Applaus),(Beifall)
bleiben_0044-0233,Auche bleibt die Augen.,(Applaus),"""Rade bleiben, bleiben keine."""
bleiben_0075-0287,"""Sicher, hier, viel zu bleiben.""",Sie reden hier nicht zum Leben.,"""Weil ich hier nicht, hier."""
bitte_0117-0806,Was 3id ehten hier.,Der Hansländernd sein.,Was seid älfjahr.
bleiben_0138-0387,Also weiß Sie bleiben.,Vielen Dank.,"""Illes, bleiben Sie bleiben."""
bleiben_0142-0391,"""Erband das, das wir brauchen.""",(Applaus),"""Erbannt das, das ist überhaupt."""
bleiben_0129-0367,Sie müssen einen Kosten.,"""Das ist Wohlen, oder 'en oder an Boten zu tun",Sie müssen also eine: Was ist.
bleiben_0215-0500,Sie bleiben des Sich.,Was macht man damit?,Sie bleiben oder bleiben.
bleiben_0186-0458,"""Ich bin nur nicht, die bleud.""",Sie haben hier und Umüber nehmen.,"""Es gibt nur ein paar bleiben."""""""
bleiben_0212-0496,Sie hat um eine gebrbreiben.,Sie sind die Koberd.,Sie hat sitz einem bleiben.
bleiben_0279-1114,Das ist lasichiert.,Was macht man hier?,Das haben Sie doch.
bleibt_0012-1698,Genau gleich gleich.,(Applaus),Genau bleibt bereit.
bleibt_0000-1679,"""Sie ist weit, bleiben, weil es.""","""Das sind nur nicht mehr, sondern?""",Sie bleibt bleibt aber.
bleiben_0225-0519,"""Jetzt muss das auch, ober euch nicht reicht.""",Vielen Danke manchmal einen Beispiel mal.,"""Das war mal, da wir reicht."""
bleibt_0013-1701,Wie eines Zuberky.,Hablicher jetzt bei diesem Leben?,Das bleibt bleibt: Es bleiben Leben.
bleibt_0050-0269,Wer hat gleich bleiben?,(Applaus),Wer hat gleich bleiben?
bleibt_0021-1153,Ihr könnt es nicht gleich.,Also geht es hoch.,Dieser Zug bleibt ja eine Orch.
bleibt_0055-0279,So bleibt gleich gut.,Noch lebt das denn?,So bleibt so bleibt nicht.
bleibt_0095-0330,Und das Wund.,(Applaus),Und das Wund.
bleibt_0079-1156,Warum die munde da.,Haben Sie nicht im Leben?,Warum die munde bleibt am Ende.
bleibt_0115-0361,Ist und bleibt?,Das war der Boldfunde damit.,Was bleibt bleibt.
bleibt_0154-0410,Das ist märkt bei der Auf.,(Applaus) Ich bin noch ein bisschen.,(Lachen) Das macht bei auch.
blick_0031-0197,Zuuch ich sollte zurück.,Punkt ist Millionen sind Millionen Tode noten.,Zuuch ich sollte zurück.
blick_0073-0249,Woherman -- ob das so.,Wir haben man nicht?,Wir haben einen Blick auf das.
blick_0098-0282,10 Zählte Gestaltung.,Vielen Dank.,10 %te Gestaltung.
blick_0113-0313,Das sind mit dem Plick aufgeben.,Haben nen die Aufschluss zu.,Das mit aus dem Klick aufdieh.
blick_0192-0394,Wer hat ein Blick in diese Land.,(Applaus),Wer hat ein Blick in diese Land.
blick_0162-0356,Auch auch mit dem Augen.,"""Das sind Worte bei Roter, leben nen bei die Lot",Auch mit Blick auf die Liper.
blick_0213-0417,Nerken können das auf die alle.,Lasste schön nicht haben?,Nerhr kennt das auch die alle.
brauchen_0032-0537,Und da hat der Kollegen.,(Applaus),Und da hat Kollege.
blick_0106-0299,"""Klingt sich ein Blick für das machen.""""""",Hat nennt meinem Beispiel leider?,"""Klingt ersteblick, machst."""
blick_0175-0376,Am Haudem ersten Blicken.,Haben wir auch mehr?,Ammer auf dem ersten Blick auch.
blick_0223-0431,Das Unternehmen in dem Blick nehmen.,Was nervt das aber begrüßen?,Das Unternehmen in dem Blick nehmen.
brauchen_0064-0655,Das brauchen 18.,Was braucht man brauchen?,Das brauchen unter.
brauchen_0052-0618,Wir brauchen diese brauchen.,Lasste Brübchen von uns zu -4 Euroen.,Wir brauchen über die brauchen.
brauchen_0087-0715,Und das sind wir auch.,Sie war Prowentlich die Hesentlich.,Dafür brauchen wir nicht.
brauchen_0122-0868,Der Molksimme dringe hier.,(Applaus),Der Molksimme dringe hier.
brauchen_0129-0886,"""Wiemand wird nicht raucher.""""""",Vielen Dank.,"""Also der Regt nicht, warum!"""
brauchen_0150-1014,Kener wir brauchen gut.,"""Und wie brauchen nicht mehr, wie brauchen uns durch unseren?""","""Kenner wir brauchen, gut es."""
brauchen_0176-1093,Wir brauchen.,(Applaus),Wir brauchen Ochen.
brauchen_0153-1025,"""Sie sind Wähle, warum!""",Darum und schön.,Damit habe man Wasser brauen.
brauchen_0143-0972,"""Der hoffe nicht, glaube ich noch mehr.""",Das ist ungefähr im Hund-Abrane.,"""Der hoffe euch, glaube ich noch mehr."""
braucht_0110-0249,Er braucht einfach einen Wis.,(Applaus),Er braucht mund.
braucht_0079-0749,So eine Kobangen.,Vielen Dank.,So eine Frage auch dieser Tit.
braucht_0049-0174,"""Sehal, geschleht.""",Vielen Dank.,Jetzt sehen wir überhaupt wensch.
braucht_0003-1171,"""All, aber es braucht.""",(Applaus) Da kann ich überhaupt behauen.,"""All, aber es braucht war."""
